Name,Party
Richard Shelby,Republican
Doug Jones,Democratic
Lisa Murkowski,Republican
Dan Sullivan,Republican
Kyrsten Sinema,Democratic
Martha McSally,Republican
John Boozman,Republican
Tom Cotton,Republican
Dianne Feinstein,Democratic
Kamala Harris,Democratic
Michael Bennet,Democratic
Cory Gardner,Republican
Richard Blumenthal,Democratic
Chris Murphy,Democratic
Tom Carper,Democratic
Chris Coons,Democratic
Marco Rubio,Republican
Rick Scott,Republican
Johnny Isakson,Republican
David Perdue,Republican
Brian Schatz,Democratic
Mazie Hirono,Democratic
Mike Crapo,Republican
Jim Risch,Republican
Dick Durbin,Democratic
Tammy Duckworth,Democratic
Todd Young,Republican
Mike Braun,Republican
Chuck Grassley,Republican
Joni Ernst,Republican
Pat Roberts,Republican
Jerry Moran,Republican
Mitch McConnell,Republican
Rand Paul,Republican
Bill Cassidy,Republican
John Kennedy,Republican
Susan Collins,Republican
Angus King,None
Ben Cardin,Democratic
Chris Van Hollen,Democratic
Elizabeth Warren,Democratic
Ed Markey,Democratic
Debbie Stabenow,Democratic
Gary Peters,Democratic
Amy Klobuchar,Democratic
Tina Smith,Democratic
Roger Wicker,Republican
Cindy Hyde-Smith,Republican
Roy Blunt,Republican
Josh Hawley,Republican
Jon Tester,Democratic
Steve Daines,Republican
Deb Fischer,Republican
Ben Sasse,Republican
Catherine Cortez Masto,Democratic
Jacky Rosen,Democratic
Jeanne Shaheen,Democratic
Maggie Hassan,Democratic
Bob Menendez,Democratic
Cory Booker,Democratic
Tom Udall,Democratic
Martin Heinrich,Democratic
Chuck Schumer,Democratic
Kirsten Gillibrand,Democratic
Richard Burr,Republican
Thom Tillis,Republican
John Hoeven,Republican
Kevin Cramer,Republican
Sherrod Brown,Democratic
Rob Portman,Republican
Jim Inhofe,Republican
James Lankford,Republican
Ron Wyden,Democratic
Jeff Merkley,Democratic
Bob Casey Jr.,Democratic
Pat Toomey,Republican
Jack Reed,Democratic
Sheldon Whitehouse,Democratic
Lindsey Graham,Republican
Tim Scott,Republican
John Thune,Republican
Mike Rounds,Republican
Lamar Alexander,Republican
Marsha Blackburn,Republican
John Cornyn,Republican
Ted Cruz,Republican
Mike Lee,Republican
Mitt Romney,Republican
Patrick Leahy,Democratic
Bernie Sanders,Independent
Mark Warner,Democratic
Tim Kaine,Democratic
Patty Murray,Democratic
Maria Cantwell,Democratic
Joe Manchin,Democratic
Shelley Moore Capito,Republican
Ron Johnson,Republican
Tammy Baldwin,Democratic
Mike Enzi,Republican
John Barrasso,Republican